Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cascading Select),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Founder Sign-off),Custom field (Frustration),Custom field (Incorporated Version),Custom field (Iteration),Custom field (Link to play),Custom field (Morale),Custom field (Parent Link),Custom field (Peer Sign-off),Custom field (Phone Screen Feedback),Custom field (Phone Screen Score),Custom field (QA Completed On),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Notes status),Custom field (Testing Status),Custom field (Total Days Spent),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create Guest Forecast UX,AXON-924,20010,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,12/Aug/16 11:38 AM,18/Aug/16 6:10 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,General layout;17/Aug/16 11:59 PM;edunne;7200,Updated with numbers;18/Aug/16 12:45 PM;edunne;5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,12600,,,1800,12600,,,,,,,,,,,,,,,,,,18/Aug/16 12:45 PM;edunne;Nexosis-Axon-Guest-Forecast.png;https://giresearch.atlassian.net/secure/attachment/17000/Nexosis-Axon-Guest-Forecast.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ahz:,,,,,,,,,,Not started,,,12/Aug/16 1:03 PM;edunne;http://wheniwork.com/features,"17/Aug/16 5:56 PM;edunne;Daily Forecast, two weeks out",17/Aug/16 11:58 PM;edunne;Guest count from 800-1200,,,,,,,,,,,,,,,,
Lead-time UX for Demand Forecasting,AXON-962,20400,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,18/Aug/16 10:36 AM,18/Aug/16 4:28 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Done;18/Aug/16 4:27 PM;edunne;1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00at3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Update Promotions Lift UX,AXON-935,20101,20110,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,15/Aug/16 1:51 PM,17/Aug/16 6:53 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Add Unattributed to Right and Bottom

Add certainty rating from p.value",,edunne,,,Done;17/Aug/16 3:56 PM;edunne;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,17/Aug/16 3:55 PM;edunne;New Promotions Sidekick.png;https://giresearch.atlassian.net/secure/attachment/16900/New+Promotions+Sidekick.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00alj:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Fix Daily Theoretical Dollars Data in DEV,AXON-916,19905,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jbledsoe,jbledsoe,jbledsoe,09/Aug/16 11:33 AM,15/Aug/16 4:14 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,The DailyTheoreticalDollars value seems to be miscalculated in DEV. Update the values by re-running the UpdateDailyTheoreticalDollars transform workflow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00acn:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Basic Store Selector Interface,AXON-633,16609,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jeffesp,jbledsoe,jbledsoe,17/May/16 10:26 AM,15/Aug/16 3:32 PM,01/Nov/16 4:03 PM,,OFFA v1,Public Web,,,,0,,,,"At a minimum, create UI that allows a user to select an individual store for causal inference display.

This task represents a minimum-viable feature. The end product should include this display as a mechanism to configure dashboards, so this task may be refined if the dashboard specification is finalized prior to this task being implemented.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0|i0061j:,,,,,,,,,,Not started,,,"13/Jul/16 9:26 AM;jbledsoe;[~jeffesp] I think you're 80% done with this, if not more.",,,,,,,,,,,,,,,,,,
Store-Level Display of Forecast Results,AXON-636,16612,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,,jbledsoe,jbledsoe,17/May/16 10:47 AM,15/Aug/16 3:27 PM,01/Nov/16 4:03 PM,,OFFA v1,Public Web,,,,0,,,,"At a minimum, implement a page that displays the results of BSTS sales forecasting for a single store.

This task represents a minimum-viable feature. The end product should include this display as a configurable dashboard, so this task may be refined if the dashboard specification is finalized prior to this task being implemented.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-631,AXON-911,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00627:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Create Staffing UX,AXON-910,19802,19739,Sub-task,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,08/Aug/16 12:50 PM,12/Aug/16 11:38 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"* Hourly forecast
* Store Stations
* Min/Max # Employees per Station
* Staffing History",,edunne,,,Discuss reqs with Jason;09/Aug/16 11:46 AM;edunne;1800,Begin config of new Chart.js ;11/Aug/16 3:46 PM;edunne;5400,Made charts work;12/Aug/16 11:37 AM;edunne;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,14400,,,1800,14400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00aan:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Review Chart Color Scheme for Clarity,AXON-881,19528,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,edunne,edunne,edunne,27/Jul/16 6:32 PM,05/Aug/16 10:02 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,http://www.fastcodesign.com/3062182/how-to-use-color-to-prove-your-point-from-a-data-viz-expert,,edunne,,,Research optimal color palettes for charts on Axon;01/Aug/16 2:33 PM;edunne;7200,Narrowing down options;03/Aug/16 4:47 PM;edunne;1800,Sent colors to devs;04/Aug/16 1:32 PM;edunne;14400,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23400,,,0,23400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i009pr:,,,,,,,,,,Not started,,,"04/Aug/16 1:29 PM;edunne;*Donut Charts*
* - v1a – #2BB7EC / rgb(43,183,236)
* - v1b – #80D4F4 / rgb(128,212,244)
* - v1c – #AAE2F7 / rgb(170,226,247)
* - v2a – #E20467 / rgb(226,4,103)
* - v2b – #EE68A4 / rgb(238,104,164)
* - v2c - #F39BC2 / rgb(243,155,194)
* - v3a - #812182 / rgb(129,33,130)
* - v3b - #B37AB4 / rgb(179,122,180)
* - v3c - #CDA6CD / rgb(205,166,205)
* - v4a - #CBD014 / rgb(203,208,20)
* - v4b - #E0E372 / rgb(224,227,114)
* - v4c - #EAECA1 / rgb(234,236,161)
* - v5a - #158297 / rgb(21,130,151)
* - v5b - #73B4C1 / rgb(115,180,193)
* - v5c - #A1CDD5 / rgb(161,205,213)
* - v6a - #332C33 / rgb(51,44,51)
* - v6b - #858085 / rgb(133,128,133)
* - v6c - #ADABAD / rgb(173,171,173)

*Net Sales*
* - Actual – #92D050 / rgb(146,208,80)
* - Predictive – #AFB0B4 / rgb(175,176,180)

*Transactions*
* - Actual – #2BB7EC / rgb(43,183,236)
* - Predictive – #CCCCCC / rgb(204,204,204)

*Bar Charts*
* - Master - #158297 / rgb(21,130,151)
* - Secondary - #73B4C1 / rgb(115,180,193)
* - Tertiary - #A1CDD5 / rgb(161,205,213)","04/Aug/16 1:33 PM;edunne;Pertinent links…
* http://www.colourlovers.com/palette/804674/mai?widths=0
* http://www.colourlovers.com/palette/46688/fresh_cut_day
* http://www.colourlovers.com/palette/871636/A_Dream_in_Color?widths=0",,,,,,,,,,,,,,,,,
Store-Level Display of Causal Inference Results,AXON-631,16607,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,jeffesp,jbledsoe,jbledsoe,17/May/16 10:22 AM,29/Jul/16 1:27 PM,01/Nov/16 4:03 PM,,OFFA v1,Public Web,,,,0,,,,"At a minimum, implement a page that displays the results of the causal inference analysis for the ""4 for $4"" promotion for a single store.

This task represents a minimum-viable feature. The end product should include this display as a configurable dashboard, so this task may be refined if the dashboard specification is finalized prior to this task being implemented.",,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00613:,,,,,,,,,,Not started,,,13/Jul/16 9:26 AM;jbledsoe;[~jeffesp] Basically done?,,,,,,,,,,,,,,,,,,
Integrate Axon.CausalImpact Package into Axon Workflow,AXON-630,16606,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Highest,,cvermeer,jbledsoe,jbledsoe,17/May/16 10:19 AM,19/Jul/16 1:12 PM,01/Nov/16 4:03 PM,,OFFA v1,Data Science Engine,,,,0,,,,,,jbledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-787,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i0060v:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
